PENNSTRAILS,NAME,DIFF,LAT,LON
001,Wissahickon-Creek,easy,40.134304,-75.221492
002,Tank-Hollow,easy,40.951730682145566,-75.70196336702035
003,Lake-Galena,easy,40.34284437494988,-75.20665130903974
004,Dingmans-Falls,easy,41.23129456569006,-74.89200768966464
005,Raymondskills-Falls,easy,41.290080830654844,-74.84311518647615
006,Mount-Minsi,medium,40.980192969705364,-75.14203054230435
007,Pulpit-Rock,medium,40.58324714221088,-75.94184183111113
008,Ricketts-Glenn-Falls,medium,41.33542616996523,-76.301360799968
009,Hawk-Fails,medium,41.007090439327285,-75.63375791302941
010,Shades-Death,medium,41.02481190880382,-75.70973885764631
011,Glen-Onoko-Falls,hard,40.88429805094478,-75.76164615115876
012,Hawk-Mountain,hard,40.64665573783395,-75.98035948192783
013,Slippery-Rock,hard,40.93077170961561,-80.19059303066267
014,Lehigh-Furnace,hard,40.770270438298944,-75.69516822051285
015,Flat-Rock-Loop,hard,40.27984331092785,-77.41785804629097
